protocol,direction,fold,seed,feature_set,point_id,nearest_training_row_identifier,standardized_nearest_distance
directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,ringdown_plus_all_shooting,k0.00025000_wq-0.71250000,k0.00075000_wq-0.61000000,1.7404029943669825
directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,ringdown_plus_all_shooting,k0.00050000_wq-0.69000000,k0.00075000_wq-0.66666667,1.084851685068612
directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,ringdown_plus_all_shooting,k0.00000000_wq-0.45000000,k0.00075000_wq-0.47500000,1.9770585537329342
directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,ringdown_plus_all_shooting,k0.00025000_wq-0.64000000,k0.00075000_wq-0.50000000,1.316427942006926
directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,ringdown_plus_all_shooting,k0.00025000_wq-0.66666667,k0.00075000_wq-0.55000000,1.4625496229146189
directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,ringdown_plus_all_shooting,k0.00000000_wq-0.58000000,k0.00075000_wq-0.47500000,1.977058553700892
directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,ringdown_plus_all_shooting,k0.00050000_wq-0.66666667,k0.00075000_wq-0.64000000,0.8971730047690916
directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,ringdown_plus_all_shooting,k0.00050000_wq-0.47500000,k0.00075000_wq-0.47500000,0.6590045850717202
directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,ringdown_plus_all_shooting,k0.00025000_wq-0.50000000,k0.00075000_wq-0.47500000,1.2698900481448996
directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,ringdown_plus_all_shooting,k0.00025000_wq-0.45000000,k0.00075000_wq-0.47500000,1.363150230837402
directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,ringdown_plus_all_shooting,k0.00000000_wq-0.71250000,k0.00075000_wq-0.47500000,1.9770585537329342
directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,ringdown_plus_all_shooting,k0.00000000_wq-0.47500000,k0.00075000_wq-0.47500000,1.9770585537329342
directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,ringdown_plus_all_shooting,k0.00025000_wq-0.58000000,k0.00075000_wq-0.47500000,1.1415740621912722
directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,ringdown_plus_all_shooting,k0.00025000_wq-0.55000000,k0.00075000_wq-0.47500000,1.1752059045049188
directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,ringdown_plus_all_shooting,k0.00000000_wq-0.66666667,k0.00075000_wq-0.47500000,1.9770585537329342
directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2027,ringdown,k0.00000000_wq-0.50000000,k0.00075000_wq-0.45000000,1.8575442166804657
directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2027,ringdown,k0.00000000_wq-0.52500000,k0.00075000_wq-0.45000000,1.8575442166804657
