source_csv,filtering_rule,protocol,feature_set,sample_count,aggregation,value,status
artifacts/traditional_baselines/traditional_vs_ml_summary.csv,method=Nearest physical model; feature_set=photon_geometry; target=identifiable_wq; k=0 excluded only for wq,directional_extrapolation,photon_geometry,20,median across registered fold/seed NMAE values,0.1937566137566136,PASS
artifacts/traditional_baselines/traditional_vs_ml_summary.csv,method=Nearest physical model; feature_set=ringdown; target=k; k=0 excluded only for wq,directional_extrapolation,ringdown,20,median across registered fold/seed NMAE values,0.1287878787878787,PASS
artifacts/traditional_baselines/traditional_vs_ml_summary.csv,method=Nearest physical model; feature_set=ringdown; target=identifiable_wq; k=0 excluded only for wq,directional_extrapolation,ringdown,20,median across registered fold/seed NMAE values,0.2541606541606542,PASS
artifacts/traditional_baselines/traditional_vs_ml_summary.csv,method=Nearest physical model; feature_set=ringdown_plus_all_shooting; target=k; k=0 excluded only for wq,directional_extrapolation,ringdown_plus_all_shooting,20,median across registered fold/seed NMAE values,0.1999999999999999,PASS
artifacts/traditional_baselines/traditional_vs_ml_summary.csv,method=Nearest physical model; feature_set=ringdown_plus_all_shooting; target=identifiable_wq; k=0 excluded only for wq,directional_extrapolation,ringdown_plus_all_shooting,20,median across registered fold/seed NMAE values,0.1934391534391533,PASS
artifacts/traditional_baselines/traditional_vs_ml_summary.csv,method=Nearest physical model; feature_set=ringdown_plus_photon_geometry; target=k; k=0 excluded only for wq,directional_extrapolation,ringdown_plus_photon_geometry,20,median across registered fold/seed NMAE values,0.1999999999999999,PASS
artifacts/traditional_baselines/traditional_vs_ml_summary.csv,method=Nearest physical model; feature_set=ringdown_plus_photon_geometry; target=identifiable_wq; k=0 excluded only for wq,directional_extrapolation,ringdown_plus_photon_geometry,20,median across registered fold/seed NMAE values,0.1950264550264549,PASS
artifacts/traditional_baselines/traditional_vs_ml_summary.csv,method=Nearest physical model; feature_set=all_shooting; target=k; k=0 excluded only for wq,grouped_physical_interpolation,all_shooting,90,median across registered fold/seed NMAE values,0.1604166666666666,PASS
artifacts/traditional_baselines/traditional_vs_ml_summary.csv,method=Nearest physical model; feature_set=all_shooting; target=identifiable_wq; k=0 excluded only for wq,grouped_physical_interpolation,all_shooting,90,median across registered fold/seed NMAE values,0.1226190476190476,PASS
artifacts/traditional_baselines/traditional_vs_ml_summary.csv,method=Nearest physical model; feature_set=photon_geometry; target=k; k=0 excluded only for wq,grouped_physical_interpolation,photon_geometry,90,median across registered fold/seed NMAE values,0.2104166666666667,PASS
artifacts/traditional_baselines/traditional_vs_ml_summary.csv,method=Nearest physical model; feature_set=photon_geometry; target=identifiable_wq; k=0 excluded only for wq,grouped_physical_interpolation,photon_geometry,90,median across registered fold/seed NMAE values,0.123015873015873,PASS
artifacts/traditional_baselines/traditional_vs_ml_summary.csv,method=Nearest physical model; feature_set=ringdown; target=k; k=0 excluded only for wq,grouped_physical_interpolation,ringdown,90,median across registered fold/seed NMAE values,0.05625,PASS
artifacts/traditional_baselines/traditional_vs_ml_summary.csv,method=Nearest physical model; feature_set=ringdown; target=identifiable_wq; k=0 excluded only for wq,grouped_physical_interpolation,ringdown,90,median across registered fold/seed NMAE values,0.2208333333333334,PASS
artifacts/traditional_baselines/traditional_vs_ml_summary.csv,method=Nearest physical model; feature_set=ringdown_plus_all_shooting; target=k; k=0 excluded only for wq,grouped_physical_interpolation,ringdown_plus_all_shooting,90,median across registered fold/seed NMAE values,0.11875,PASS
artifacts/traditional_baselines/traditional_vs_ml_summary.csv,method=Nearest physical model; feature_set=ringdown_plus_all_shooting; target=identifiable_wq; k=0 excluded only for wq,grouped_physical_interpolation,ringdown_plus_all_shooting,90,median across registered fold/seed NMAE values,0.1314814814814815,PASS
artifacts/traditional_baselines/traditional_vs_ml_summary.csv,method=Nearest physical model; feature_set=ringdown_plus_photon_geometry; target=k; k=0 excluded only for wq,grouped_physical_interpolation,ringdown_plus_photon_geometry,90,median across registered fold/seed NMAE values,0.10625,PASS
artifacts/traditional_baselines/traditional_vs_ml_summary.csv,method=Nearest physical model; feature_set=ringdown_plus_photon_geometry; target=identifiable_wq; k=0 excluded only for wq,grouped_physical_interpolation,ringdown_plus_photon_geometry,90,median across registered fold/seed NMAE values,0.1481481481481482,PASS
