feature_set,row_id,point_id,k,wq,neighbor_row_id,neighbor_point_id,neighbor_k,neighbor_wq,d_O,d_theta
ringdown,107,k0p002250000_wqm0p500000000,0.00225,-0.5,120,k0p002500000_wqm0p450000000,0.0025,-0.45,0.03257484656521377,0.21513060948717178
ringdown,108,k0p002250000_wqm0p475000000,0.00225,-0.475,95,k0p002000000_wqm0p525000000,0.002,-0.525,0.03501047934910423,0.21513060948717186
ringdown,109,k0p002250000_wqm0p450000000,0.00225,-0.45,96,k0p002000000_wqm0p500000000,0.002,-0.5,0.031470379366028325,0.2151306094871717
ringdown,110,k0p002500000_wqm0p712500000,0.0025,-0.7125,111,k0p002500000_wqm0p690000000,0.0025,-0.69,0.05961131712136219,0.08571428571428599
ringdown,111,k0p002500000_wqm0p690000000,0.0025,-0.69,112,k0p002500000_wqm0p666666667,0.0025,-0.6666666666666666,0.05814040989113768,0.08888888888888882
ringdown,112,k0p002500000_wqm0p666666667,0.0025,-0.6666666666666666,111,k0p002500000_wqm0p690000000,0.0025,-0.69,0.05814040989113768,0.08888888888888882
ringdown,113,k0p002500000_wqm0p640000000,0.0025,-0.64,112,k0p002500000_wqm0p666666667,0.0025,-0.6666666666666666,0.06246418495359298,0.10158730158730139
ringdown,114,k0p002500000_wqm0p610000000,0.0025,-0.61,115,k0p002500000_wqm0p580000000,0.0025,-0.58,0.06185987268929402,0.11428571428571438
ringdown,115,k0p002500000_wqm0p580000000,0.0025,-0.58,103,k0p002250000_wqm0p610000000,0.00225,-0.61,0.05672822635235313,0.1518592258962094
ringdown,116,k0p002500000_wqm0p550000000,0.0025,-0.55,117,k0p002500000_wqm0p525000000,0.0025,-0.525,0.04617242420806584,0.09523809523809532
ringdown,117,k0p002500000_wqm0p525000000,0.0025,-0.525,118,k0p002500000_wqm0p500000000,0.0025,-0.5,0.04413533833644947,0.09523809523809532
ringdown,118,k0p002500000_wqm0p500000000,0.0025,-0.5,105,k0p002250000_wqm0p550000000,0.00225,-0.55,0.040368094937920936,0.21513060948717191
ringdown,119,k0p002500000_wqm0p475000000,0.0025,-0.475,106,k0p002250000_wqm0p525000000,0.00225,-0.525,0.03623296649372493,0.21513060948717191
ringdown,120,k0p002500000_wqm0p450000000,0.0025,-0.45,107,k0p002250000_wqm0p500000000,0.00225,-0.5,0.03257484656521377,0.21513060948717178
ringdown_plus_photon_geometry,11,k0p000250000_wqm0p712500000,0.00025,-0.7125,12,k0p000250000_wqm0p690000000,0.00025,-0.69,0.04270341442575559,0.08571428571428599
ringdown_plus_photon_geometry,12,k0p000250000_wqm0p690000000,0.00025,-0.69,13,k0p000250000_wqm0p666666667,0.00025,-0.6666666666666666,0.03409301477424046,0.08888888888888882
ringdown_plus_photon_geometry,13,k0p000250000_wqm0p666666667,0.00025,-0.6666666666666666,14,k0p000250000_wqm0p640000000,0.00025,-0.64,0.02940320892678209,0.10158730158730139
ringdown_plus_photon_geometry,14,k0p000250000_wqm0p640000000,0.00025,-0.64,15,k0p000250000_wqm0p610000000,0.00025,-0.61,0.024094659410668115,0.11428571428571438
ringdown_plus_photon_geometry,15,k0p000250000_wqm0p610000000,0.00025,-0.61,16,k0p000250000_wqm0p580000000,0.00025,-0.58,0.017227592947423823,0.11428571428571438
ringdown_plus_photon_geometry,16,k0p000250000_wqm0p580000000,0.00025,-0.58,17,k0p000250000_wqm0p550000000,0.00025,-0.55,0.012322495252306666,0.11428571428571396
ringdown_plus_photon_geometry,17,k0p000250000_wqm0p550000000,0.00025,-0.55,18,k0p000250000_wqm0p525000000,0.00025,-0.525,0.007548467851246566,0.09523809523809532
ringdown_plus_photon_geometry,18,k0p000250000_wqm0p525000000,0.00025,-0.525,19,k0p000250000_wqm0p500000000,0.00025,-0.5,0.005725264860499915,0.09523809523809532
ringdown_plus_photon_geometry,19,k0p000250000_wqm0p500000000,0.00025,-0.5,20,k0p000250000_wqm0p475000000,0.00025,-0.475,0.004363236279274324,0.09523809523809532
ringdown_plus_photon_geometry,20,k0p000250000_wqm0p475000000,0.00025,-0.475,21,k0p000250000_wqm0p450000000,0.00025,-0.45,0.0033565236575015026,0.09523809523809511
ringdown_plus_photon_geometry,21,k0p000250000_wqm0p450000000,0.00025,-0.45,20,k0p000250000_wqm0p475000000,0.00025,-0.475,0.0033565236575015026,0.09523809523809511
ringdown_plus_photon_geometry,22,k0p000500000_wqm0p712500000,0.0005,-0.7125,34,k0p000750000_wqm0p690000000,0.00075,-0.69,0.06090864357458948,0.13170777796132715
ringdown_plus_photon_geometry,23,k0p000500000_wqm0p690000000,0.0005,-0.69,35,k0p000750000_wqm0p666666667,0.00075,-0.6666666666666666,0.05164732704287164,0.13379549531991436
ringdown_plus_photon_geometry,24,k0p000500000_wqm0p666666667,0.0005,-0.6666666666666666,36,k0p000750000_wqm0p640000000,0.00075,-0.64,0.04090915543805561,0.14254816675001236
ringdown_plus_photon_geometry,25,k0p000500000_wqm0p640000000,0.0005,-0.64,37,k0p000750000_wqm0p610000000,0.00075,-0.61,0.034394381172364666,0.15185922589620934
ringdown_plus_photon_geometry,26,k0p000500000_wqm0p610000000,0.0005,-0.61,38,k0p000750000_wqm0p580000000,0.00075,-0.58,0.03140183854696145,0.15185922589620934
ringdown_plus_photon_geometry,27,k0p000500000_wqm0p580000000,0.0005,-0.58,28,k0p000500000_wqm0p550000000,0.0005,-0.55,0.024214636617243938,0.11428571428571396
ringdown_plus_photon_geometry,28,k0p000500000_wqm0p550000000,0.0005,-0.55,29,k0p000500000_wqm0p525000000,0.0005,-0.525,0.014911389349086682,0.09523809523809532
ringdown_plus_photon_geometry,29,k0p000500000_wqm0p525000000,0.0005,-0.525,30,k0p000500000_wqm0p500000000,0.0005,-0.5,0.011349865934781534,0.09523809523809532
ringdown_plus_photon_geometry,30,k0p000500000_wqm0p500000000,0.0005,-0.5,31,k0p000500000_wqm0p475000000,0.0005,-0.475,0.008672878899270795,0.09523809523809532
ringdown_plus_photon_geometry,31,k0p000500000_wqm0p475000000,0.0005,-0.475,32,k0p000500000_wqm0p450000000,0.0005,-0.45,0.006685140253100447,0.09523809523809511
ringdown_plus_photon_geometry,32,k0p000500000_wqm0p450000000,0.0005,-0.45,31,k0p000500000_wqm0p475000000,0.0005,-0.475,0.006685140253100447,0.09523809523809511
ringdown_plus_photon_geometry,33,k0p000750000_wqm0p712500000,0.00075,-0.7125,45,k0p001000000_wqm0p690000000,0.001,-0.69,0.04684489142625044,0.13170777796132715
ringdown_plus_photon_geometry,34,k0p000750000_wqm0p690000000,0.00075,-0.69,46,k0p001000000_wqm0p666666667,0.001,-0.6666666666666666,0.04174582765084347,0.13379549531991436
ringdown_plus_photon_geometry,35,k0p000750000_wqm0p666666667,0.00075,-0.6666666666666666,47,k0p001000000_wqm0p640000000,0.001,-0.64,0.03876572704228405,0.14254816675001236
ringdown_plus_photon_geometry,36,k0p000750000_wqm0p640000000,0.00075,-0.64,48,k0p001000000_wqm0p610000000,0.001,-0.61,0.036569535851226465,0.15185922589620934
ringdown_plus_photon_geometry,37,k0p000750000_wqm0p610000000,0.00075,-0.61,49,k0p001000000_wqm0p580000000,0.001,-0.58,0.03200415294452326,0.15185922589620934
ringdown_plus_photon_geometry,38,k0p000750000_wqm0p580000000,0.00075,-0.58,50,k0p001000000_wqm0p550000000,0.001,-0.55,0.028808056368748843,0.15185922589620904
ringdown_plus_photon_geometry,39,k0p000750000_wqm0p550000000,0.00075,-0.55,40,k0p000750000_wqm0p525000000,0.00075,-0.525,0.022083933798586124,0.09523809523809532
ringdown_plus_photon_geometry,40,k0p000750000_wqm0p525000000,0.00075,-0.525,41,k0p000750000_wqm0p500000000,0.00075,-0.5,0.016872006020556198,0.09523809523809532
ringdown_plus_photon_geometry,41,k0p000750000_wqm0p500000000,0.00075,-0.5,42,k0p000750000_wqm0p475000000,0.00075,-0.475,0.012928329223252722,0.09523809523809532
ringdown_plus_photon_geometry,42,k0p000750000_wqm0p475000000,0.00075,-0.475,43,k0p000750000_wqm0p450000000,0.00075,-0.45,0.00998568252447671,0.09523809523809511
ringdown_plus_photon_geometry,43,k0p000750000_wqm0p450000000,0.00075,-0.45,42,k0p000750000_wqm0p475000000,0.00075,-0.475,0.00998568252447671,0.09523809523809511
ringdown_plus_photon_geometry,44,k0p001000000_wqm0p712500000,0.001,-0.7125,56,k0p001250000_wqm0p690000000,0.00125,-0.69,0.06395540391783243,0.13170777796132715
ringdown_plus_photon_geometry,45,k0p001000000_wqm0p690000000,0.001,-0.69,33,k0p000750000_wqm0p712500000,0.00075,-0.7125,0.04684489142625044,0.13170777796132715
ringdown_plus_photon_geometry,46,k0p001000000_wqm0p666666667,0.001,-0.6666666666666666,34,k0p000750000_wqm0p690000000,0.00075,-0.69,0.04174582765084347,0.13379549531991436
