protocol,fold,feature_set,target,noise,realization,R2,MAE,RMSE,NMAE,NRMSE
grouped_physical_interpolation,blocks_3x3_g1,ringdown,wq,0.01,1,-0.21526869825153216,0.030044707919132455,0.03515901205953786,0.11445603016812363,0.13393909356014422
grouped_physical_interpolation,blocks_3x3_g1,ringdown,k,0.0,2,0.2557467122703011,0.00020007243737035272,0.00024113230414833,0.08002897494814108,0.096452921659332
grouped_physical_interpolation,blocks_3x3_g1,ringdown,wq,0.0,2,-0.07210919580910691,0.02845017924931316,0.033023265626101764,0.1083816352354787,0.12580291667086385
grouped_physical_interpolation,blocks_3x3_g1,ringdown,k,0.001,2,0.256420112659998,0.00019884459200937227,0.0002410231912045761,0.0795378368037489,0.09640927648183044
grouped_physical_interpolation,blocks_3x3_g1,ringdown,wq,0.001,2,-0.0967614637091363,0.028860293872442336,0.0334007792029862,0.10994397665692318,0.12724106363042362
grouped_physical_interpolation,blocks_3x3_g1,ringdown,k,0.005,2,0.255996420083365,0.00019884022219716398,0.00024109184905547328,0.07953608887886558,0.09643673962218931
grouped_physical_interpolation,blocks_3x3_g1,ringdown,wq,0.005,2,-0.09850044555607229,0.028842168125573067,0.03342724819610591,0.1098749261926593,0.12734189788992728
grouped_physical_interpolation,blocks_3x3_g1,ringdown,k,0.01,2,0.31695161248687176,0.0001920091287353728,0.00023100466504913521,0.07680365149414911,0.09240186601965408
grouped_physical_interpolation,blocks_3x3_g1,ringdown,wq,0.01,2,-0.44345812812535246,0.03313253591072364,0.0383179796531929,0.12621918442180433,0.14597325582168721
grouped_physical_interpolation,blocks_3x3_g1,ringdown,k,0.0,3,0.2557467122703011,0.00020007243737035272,0.00024113230414833,0.08002897494814108,0.096452921659332
grouped_physical_interpolation,blocks_3x3_g1,ringdown,wq,0.0,3,-0.07210919580910691,0.02845017924931316,0.033023265626101764,0.1083816352354787,0.12580291667086385
grouped_physical_interpolation,blocks_3x3_g1,ringdown,k,0.001,3,0.25564600487615496,0.00020018061866391827,0.00024114861780456134,0.0800722474655673,0.09645944712182453
grouped_physical_interpolation,blocks_3x3_g1,ringdown,wq,0.001,3,-0.07238504403768409,0.028429736514210366,0.033027513711784,0.10830375814937282,0.12581909985441525
grouped_physical_interpolation,blocks_3x3_g1,ringdown,k,0.005,3,0.25663214784151156,0.0001979179672190855,0.00024098882432569755,0.0791671868876342,0.09639552973027901
