protocol,direction,model,feature_set,target,metric,mean,std,median,q25,q75,n
directional_extrapolation,high_k_to_low_k,hgb,orbital,k,RMSE,0.0011529655771452517,6.269882196879875e-05,0.0011286208804982092,0.001124996782452563,0.0012134238219379304,5
directional_extrapolation,high_k_to_low_k,hgb,orbital,k,NMAE,0.4553008880348588,0.024922369003486444,0.4467871435222365,0.4437718894725449,0.47919781675472134,5
directional_extrapolation,high_k_to_low_k,hgb,orbital,k,NRMSE,0.46118623085810057,0.02507952878751949,0.45144835219928364,0.44999871298102523,0.48536952877517214,5
directional_extrapolation,high_k_to_low_k,hgb,orbital,k,joint_error_median,0.5543106169032607,0.042660755580097486,0.5499283317231743,0.5429292744321604,0.5739363009234821,5
directional_extrapolation,high_k_to_low_k,hgb,orbital,wq,R2,-0.18653007992256104,0.0889864594960295,-0.17253099962891616,-0.213979874625581,-0.11782467690762277,5
directional_extrapolation,high_k_to_low_k,hgb,orbital,wq,MAE,0.07892450329528553,0.0026053220406997988,0.07829254843974306,0.07703063679363786,0.08006957391240459,5
directional_extrapolation,high_k_to_low_k,hgb,orbital,wq,RMSE,0.09277554844929828,0.003444373965939322,0.09227745953533052,0.09009907020559207,0.09389429520191575,5
directional_extrapolation,high_k_to_low_k,hgb,orbital,wq,NMAE,0.30066477445823053,0.009925036345523042,0.2982573273894974,0.29345004492814425,0.30502694823773174,5
directional_extrapolation,high_k_to_low_k,hgb,orbital,wq,NRMSE,0.3534306607592315,0.013121424632149803,0.3515331791822115,0.3432345531641603,0.35769255315015525,5
directional_extrapolation,high_k_to_low_k,hgb,orbital,wq,joint_error_median,0.5135693349934486,0.03034268131231408,0.5142934839039711,0.4983624986987807,0.5252179698318865,5
directional_extrapolation,high_k_to_low_k,hgb,photon_geometry,k,R2,-14.207580906288763,2.0269772801054855,-13.60998585561196,-16.223065209832587,-13.320488878629515,5
directional_extrapolation,high_k_to_low_k,hgb,photon_geometry,k,MAE,0.0007280240766036485,4.8390574697380385e-05,0.0007247478363489727,0.0006916786110076182,0.0007660670873623545,5
directional_extrapolation,high_k_to_low_k,hgb,photon_geometry,k,RMSE,0.0007945920831630481,5.329898924119156e-05,0.0007802239490367482,0.0007724552003900053,0.0008471291029567795,5
directional_extrapolation,high_k_to_low_k,hgb,photon_geometry,k,NMAE,0.2912096306414594,0.019356229878952143,0.2898991345395891,0.2766714444030473,0.3064268349449418,5
directional_extrapolation,high_k_to_low_k,hgb,photon_geometry,k,NRMSE,0.31783683326521917,0.02131959569647662,0.3120895796146993,0.3089820801560021,0.33885164118271177,5
directional_extrapolation,high_k_to_low_k,hgb,photon_geometry,k,joint_error_median,0.3700518074771952,0.02420794513042989,0.382130898805296,0.3621555444446033,0.3857506399815162,5
directional_extrapolation,high_k_to_low_k,hgb,photon_geometry,wq,R2,0.5115576403746324,0.06109353383001619,0.5251431373081753,0.5074202268371165,0.5351764096119154,5
directional_extrapolation,high_k_to_low_k,hgb,photon_geometry,wq,MAE,0.051621092552853146,0.0030149419396595274,0.050585385915899776,0.05052452708872888,0.05121257969337374,5
directional_extrapolation,high_k_to_low_k,hgb,photon_geometry,wq,RMSE,0.059468236807242905,0.0036545287838752314,0.058723890779728914,0.05810018875059663,0.05980971735041917,5
directional_extrapolation,high_k_to_low_k,hgb,photon_geometry,wq,NMAE,0.19665178115372622,0.011485493103464868,0.19270623206057058,0.19247438890944335,0.1950955416890428,5
directional_extrapolation,high_k_to_low_k,hgb,photon_geometry,wq,NRMSE,0.22654566402759196,0.013922014414762783,0.223710060113253,0.22133405238322526,0.22784654228731113,5
directional_extrapolation,high_k_to_low_k,hgb,photon_geometry,wq,joint_error_median,0.31985320131374406,0.02458700632204849,0.3106353845340496,0.30213909893278756,0.33437280299694605,5
directional_extrapolation,high_k_to_low_k,hgb,redshift,k,R2,-7.753114110510751,0.7577877427847912,-7.799070175410101,-8.231498466330951,-7.03325117082885,5
directional_extrapolation,high_k_to_low_k,hgb,redshift,k,MAE,0.0005719817207698081,2.680300943229469e-05,0.0005756638366086903,0.0005451193772243579,0.0005880226418609657,5
directional_extrapolation,high_k_to_low_k,hgb,redshift,k,RMSE,0.0006034630242998342,2.6111928328965526e-05,0.0006054980792499848,0.0005785488732894875,0.0006201981694833162,5
directional_extrapolation,high_k_to_low_k,hgb,redshift,k,NMAE,0.2287926883079232,0.010721203772917878,0.23026553464347613,0.21804775088974315,0.2352090567443863,5
