protocol,direction,model,feature_set,target,target_coverage,empirical_coverage,average_width,median_width,n
directional_extrapolation,low_k_to_high_k,mlp,ringdown_plus_all_shooting,wq,0.9,0.896969696969697,0.35245841739864625,0.28400378739966525,165
directional_extrapolation,low_k_to_high_k,mlp,ringdown_plus_photon_geometry,k,0.9,0.3393939393939394,0.000565756607467994,0.0003159974088118062,165
directional_extrapolation,low_k_to_high_k,mlp,ringdown_plus_photon_geometry,wq,0.9,0.9090909090909091,0.24545611163444866,0.25480249049964077,165
directional_extrapolation,low_k_to_high_k,mlp,timing,k,0.9,0.5393939393939394,0.000957155174115835,0.0006148387881612068,165
directional_extrapolation,low_k_to_high_k,mlp,timing,wq,0.9,0.896969696969697,0.3597471837162624,0.31828399228881554,165
directional_extrapolation,low_k_to_high_k,random_forest,all_shooting,k,0.9,0.3515151515151515,0.0012348508597883588,0.0008419642857142849,165
directional_extrapolation,low_k_to_high_k,random_forest,all_shooting,wq,0.9,0.9818181818181818,0.2395432020697598,0.2757859026775692,165
directional_extrapolation,low_k_to_high_k,random_forest,orbital,k,0.9,0.44242424242424244,0.002032174075674689,0.0019405325577200577,165
directional_extrapolation,low_k_to_high_k,random_forest,orbital,wq,0.9,1.0,0.27534881678211964,0.27592832136998824,165
directional_extrapolation,low_k_to_high_k,random_forest,photon_geometry,k,0.9,0.2606060606060606,0.001211221741221741,0.001204671867484367,165
directional_extrapolation,low_k_to_high_k,random_forest,photon_geometry,wq,0.9,0.9757575757575757,0.24488374125171322,0.27526626228709616,165
directional_extrapolation,low_k_to_high_k,random_forest,redshift,k,0.9,0.3878787878787879,0.001270159722222222,0.0012818452380952373,165
directional_extrapolation,low_k_to_high_k,random_forest,redshift,wq,0.9,1.0,0.24641400721456103,0.27553652998236344,165
directional_extrapolation,low_k_to_high_k,random_forest,ringdown,k,0.9,0.012121212121212121,0.0003326249999999992,0.0003991666666666666,165
directional_extrapolation,low_k_to_high_k,random_forest,ringdown,wq,0.9,0.8727272727272727,0.2773655778551058,0.28819850458523855,165
directional_extrapolation,low_k_to_high_k,random_forest,ringdown_plus_all_shooting,k,0.9,0.012121212121212121,0.0003401388888888884,0.00036041666666666644,165
directional_extrapolation,low_k_to_high_k,random_forest,ringdown_plus_all_shooting,wq,0.9,0.9757575757575757,0.2395048494964072,0.2757859026775692,165
directional_extrapolation,low_k_to_high_k,random_forest,ringdown_plus_photon_geometry,k,0.9,0.012121212121212121,0.0003200833333333328,0.00038291666666666726,165
directional_extrapolation,low_k_to_high_k,random_forest,ringdown_plus_photon_geometry,wq,0.9,0.9696969696969697,0.24440284449823055,0.27526626228709616,165
directional_extrapolation,low_k_to_high_k,random_forest,timing,k,0.9,0.3939393939393939,0.0015532936507936506,0.0009738740079365069,165
directional_extrapolation,low_k_to_high_k,random_forest,timing,wq,0.9,0.9030303030303031,0.2388342408347133,0.2791625366917033,165
directional_extrapolation,low_wq_to_high_wq,hgb,all_shooting,k,0.9,0.4909090909090909,0.00090763334509952,0.0009939382119671,165
directional_extrapolation,low_wq_to_high_wq,hgb,all_shooting,wq,0.9,0.6,0.15747110132369138,0.2038153852979689,150
directional_extrapolation,low_wq_to_high_wq,hgb,orbital,k,0.9,0.8181818181818182,0.0026876389244350095,0.0027767472548809375,165
directional_extrapolation,low_wq_to_high_wq,hgb,orbital,wq,0.9,0.7733333333333333,0.2347797761154571,0.22861707876833437,150
directional_extrapolation,low_wq_to_high_wq,hgb,photon_geometry,k,0.9,0.703030303030303,0.0015448916498512395,0.0015877194341672,165
directional_extrapolation,low_wq_to_high_wq,hgb,photon_geometry,wq,0.9,0.5533333333333333,0.18877618779558147,0.1980427944166589,150
directional_extrapolation,low_wq_to_high_wq,hgb,redshift,k,0.9,0.7272727272727273,0.0016865765121355,0.0017218343812321103,165
directional_extrapolation,low_wq_to_high_wq,hgb,redshift,wq,0.9,0.5866666666666667,0.1681417959045155,0.2039233003070673,150
directional_extrapolation,low_wq_to_high_wq,hgb,ringdown,k,0.9,0.9151515151515152,0.00075858684946744,0.0007610824340162,165
directional_extrapolation,low_wq_to_high_wq,hgb,ringdown,wq,0.9,0.5,0.2229626960834584,0.2272520362391599,150
directional_extrapolation,low_wq_to_high_wq,hgb,ringdown_plus_all_shooting,k,0.9,0.7757575757575758,0.0006902008526502002,0.0006259048796893,165
directional_extrapolation,low_wq_to_high_wq,hgb,ringdown_plus_all_shooting,wq,0.9,0.6066666666666667,0.15764572432326968,0.2036524572993259,150
directional_extrapolation,low_wq_to_high_wq,hgb,ringdown_plus_photon_geometry,k,0.9,0.7636363636363637,0.0007198872037357,0.0007883736770701,165
directional_extrapolation,low_wq_to_high_wq,hgb,ringdown_plus_photon_geometry,wq,0.9,0.5866666666666667,0.18681882221328658,0.202986022401773,150
directional_extrapolation,low_wq_to_high_wq,hgb,timing,k,0.9,0.48484848484848486,0.0009821194264174,0.0010682361047314546,165
