protocol,direction,model,feature_set,fold,seed,target,R2,MAE,RMSE,NMAE,NRMSE,n_scored,joint_error_median
grouped_physical_interpolation,,mlp,ringdown_plus_all_shooting,blocks_3x3_shifted_g2,2030,k,0.9878069227639587,1.8932371710400007e-05,2.2539851038439826e-05,0.0075729486841600024,0.00901594041537593,12,0.3278190690881476
grouped_physical_interpolation,,mlp,ringdown_plus_all_shooting,blocks_3x3_shifted_g2,2030,wq,-6.360856736789642,0.06892881737722832,0.0758331677145094,0.2625859709608698,0.2888882579600358,8,0.2578855325415752
grouped_physical_interpolation,,mlp,ringdown_plus_all_shooting,blocks_3x3_shifted_g3,2026,k,0.978429355852649,3.298405653861489e-05,4.1051267629779656e-05,0.013193622615445955,0.01642050705191186,12,0.020779094811991364
grouped_physical_interpolation,,mlp,ringdown_plus_all_shooting,blocks_3x3_shifted_g3,2026,wq,0.7669365079658674,0.006294009137874701,0.009033725078848894,0.023977177668094096,0.03441419077656721,12,0.020779094811991364
grouped_physical_interpolation,,mlp,ringdown_plus_all_shooting,blocks_3x3_shifted_g3,2027,k,-3.2043235227930618,0.0005130056423364469,0.000573116720414095,0.20520225693457878,0.22924668816563798,12,0.3029051721203258
grouped_physical_interpolation,,mlp,ringdown_plus_all_shooting,blocks_3x3_shifted_g3,2027,wq,-8.869758070901195,0.056449053374527235,0.05878723020885435,0.21504401285534183,0.22395135317658801,12,0.3029051721203258
grouped_physical_interpolation,,mlp,ringdown_plus_all_shooting,blocks_3x3_shifted_g3,2028,k,0.5141932475968833,0.0001640317606306709,0.00019481697187743546,0.06561270425226835,0.07792678875097418,12,0.06604884996493987
grouped_physical_interpolation,,mlp,ringdown_plus_all_shooting,blocks_3x3_shifted_g3,2028,wq,0.6866724381478979,0.008671296610236892,0.010474397341472222,0.03303351089614054,0.03990246606275132,12,0.06604884996493987
grouped_physical_interpolation,,mlp,ringdown_plus_all_shooting,blocks_3x3_shifted_g3,2029,k,0.03314086616765255,0.00024250222520980782,0.00027483789736979896,0.09700089008392312,0.10993515894791958,12,0.10774689710381377
grouped_physical_interpolation,,mlp,ringdown_plus_all_shooting,blocks_3x3_shifted_g3,2029,wq,-1.1724748904043625,0.023155549860741132,0.027580817067524854,0.08821161851710907,0.10506977930485659,12,0.10774689710381377
grouped_physical_interpolation,,mlp,ringdown_plus_all_shooting,blocks_3x3_shifted_g3,2030,k,0.9818111014833528,3.1783904914508686e-05,3.769625573731507e-05,0.012713561965803474,0.015078502294926029,12,0.04227530182481299
grouped_physical_interpolation,,mlp,ringdown_plus_all_shooting,blocks_3x3_shifted_g3,2030,wq,0.31406370139967976,0.012527547267087527,0.015497856589773332,0.047723989588904864,0.059039453675326974,12,0.04227530182481299
grouped_physical_interpolation,,mlp,ringdown_plus_all_shooting,blocks_3x3_shifted_g4,2026,k,0.9246053767875817,5.683411190915313e-05,7.674767057357623e-05,0.022733644763661253,0.03069906822943049,16,0.06385554435818132
grouped_physical_interpolation,,mlp,ringdown_plus_all_shooting,blocks_3x3_shifted_g4,2026,wq,0.6410432930507883,0.01595689169104505,0.020095429712197327,0.06078815882302875,0.0765540179512279,16,0.06385554435818132
grouped_physical_interpolation,,mlp,ringdown_plus_all_shooting,blocks_3x3_shifted_g4,2027,k,0.9782927235479437,3.3067234879952965e-05,4.1181075420839764e-05,0.013226893951981185,0.016472430168335904,16,0.053911457614953584
grouped_physical_interpolation,,mlp,ringdown_plus_all_shooting,blocks_3x3_shifted_g4,2027,wq,0.8063725496534174,0.012587750764524258,0.014759094878748675,0.047953336245806694,0.056225123347613995,16,0.053911457614953584
grouped_physical_interpolation,,mlp,ringdown_plus_all_shooting,blocks_3x3_shifted_g4,2028,k,0.2190542429654767,0.00023324138801412633,0.0002470048324796949,0.09329655520565053,0.09880193299187795,16,0.1182157829949479
grouped_physical_interpolation,,mlp,ringdown_plus_all_shooting,blocks_3x3_shifted_g4,2028,wq,0.7272506426932481,0.014007479841077329,0.01751693543317711,0.05336182796600887,0.06673118260257946,16,0.1182157829949479
