k,wq,initial_apocentre_phi,initial_apocentre_radius,next_pericentre_phi,next_pericentre_radius,next_apocentre_phi,next_apocentre_radius
0.0005,-0.7125,3.141592653589793,12.0,8.72490836859111,8.000000000000025,14.308224083592432,11.999999999999986
0.0005,-0.69,3.141592653589793,12.0,8.616565176806386,8.000000000000028,14.09153770002297,12.000000000000009
0.0005,-0.6666666666666666,3.141592653589793,12.0,8.533474476081718,8.000000000000005,13.925356298573636,12.000000000000007
0.0005,-0.64,3.141592653589793,12.0,8.46413109269476,8.00000000000004,13.786669531799722,12.0
0.0005,-0.61,3.141592653589793,12.0,8.408900669305796,7.999999999999996,13.676208685021804,12.000000000000004
0.0005,-0.58,3.141592653589793,12.0,8.370362993770907,8.000000000000004,13.599133333952008,12.000000000000012
0.0005,-0.55,3.141592653589793,12.0,8.34340337163999,8.000000000000014,13.545214089690194,11.999999999999996
0.0005,-0.525,3.141592653589793,12.0,8.327253880614105,7.9999999999999805,13.512915107638419,12.000000000000016
0.0005,-0.5,3.141592653589793,12.0,8.315310341661586,8.00000000000004,13.489028029733376,11.999999999999984
0.0005,-0.475,3.141592653589793,12.0,8.306518411283697,8.000000000000016,13.47144416897761,11.999999999999972
0.0005,-0.45,3.141592653589793,12.0,8.300087234385607,8.00000000000003,13.458581815181423,11.999999999999991
0.00075,-0.7125,3.141592653589793,12.0,9.008679530126102,8.000000000000007,14.875766406662425,11.999999999999998
0.00075,-0.69,3.141592653589793,12.0,8.817855120428108,8.000000000000002,14.49411758726642,12.000000000000002
0.00075,-0.6666666666666666,3.141592653589793,12.0,8.67752197073225,8.000000000000016,14.213451287874719,12.00000000000002
0.00075,-0.64,3.141592653589793,12.0,8.56412541816833,8.00000000000003,13.98665818274687,11.999999999999996
0.00075,-0.61,3.141592653589793,12.0,8.476101486019274,8.000000000000005,13.81061031844875,12.0
0.00075,-0.58,3.141592653589793,12.0,8.415840341859548,7.999999999999975,13.690088030129301,11.999999999999991
0.00075,-0.55,3.141592653589793,12.0,8.37423527607356,8.000000000000005,13.606877898557308,12.00000000000003
0.00075,-0.525,3.141592653589793,12.0,8.349526920693567,8.000000000000002,13.557461187797319,12.000000000000032
0.00075,-0.5,3.141592653589793,12.0,8.33135586891924,7.999999999999981,13.521119084248701,12.000000000000016
