k,wq,feature,feature_group,value_81,value_161,difference,absolute_difference,normalized_difference,convergence_classification
0.0,-0.525,timing__excess_time_delay__cos2,timing,0.1872398036740448,0.18725786395357163,1.8060279526832534e-05,1.8060279526832534e-05,0.0004060399815725908,converged
0.0,-0.5,timing__excess_time_delay__cos2,timing,0.1872398036740448,0.18725786395357163,1.8060279526832534e-05,1.8060279526832534e-05,0.0004060399815725908,converged
0.0,-0.475,timing__excess_time_delay__cos2,timing,0.1872398036740448,0.18725786395357163,1.8060279526832534e-05,1.8060279526832534e-05,0.0004060399815725908,converged
0.0,-0.45,timing__excess_time_delay__cos2,timing,0.1872398036740448,0.18725786395357163,1.8060279526832534e-05,1.8060279526832534e-05,0.0004060399815725908,converged
0.00025,-0.7125,timing__excess_time_delay__cos2,timing,0.1928732626488732,0.19288666628584847,1.3403636975273248e-05,1.3403636975273248e-05,0.0003013470806118887,converged
0.00025,-0.69,timing__excess_time_delay__cos2,timing,0.1917531655172695,0.19176761845220136,1.445293493185229e-05,1.445293493185229e-05,0.0003249379072278616,converged
0.00025,-0.6666666666666666,timing__excess_time_delay__cos2,timing,0.1908312284195369,0.19084652982461048,1.530140507358113e-05,1.530140507358113e-05,0.0003440136253085603,converged
0.00025,-0.64,timing__excess_time_delay__cos2,timing,0.190010780925023,0.1900268207063939,1.603978137090789e-05,1.603978137090789e-05,0.00036061416007408044,converged
0.00025,-0.61,timing__excess_time_delay__cos2,timing,0.1893147272448409,0.18933137506193592,1.6647817095011286e-05,1.6647817095011286e-05,0.00037428431472720275,converged
0.00025,-0.58,timing__excess_time_delay__cos2,timing,0.1887983101180046,0.1888153924607492,1.708234274458431e-05,1.708234274458431e-05,0.0003840535315592743,converged
0.00025,-0.55,timing__excess_time_delay__cos2,timing,0.1884148239626252,0.1884322148124202,1.7390849794990393e-05,1.7390849794990393e-05,0.0003909895370001529,converged
0.00025,-0.525,timing__excess_time_delay__cos2,timing,0.188171657213944,0.18818923431056572,1.7577096621729238e-05,1.7577096621729238e-05,0.0003951768286743841,converged
0.00025,-0.5,timing__excess_time_delay__cos2,timing,0.1879816579224849,0.1879993731280173,1.7715205532398137e-05,1.7715205532398137e-05,0.0003982818603246249,converged
0.00025,-0.475,timing__excess_time_delay__cos2,timing,0.1878330871899252,0.18785090397104864,1.7816781123447534e-05,1.7816781123447534e-05,0.0004005655321280787,converged
0.00025,-0.45,timing__excess_time_delay__cos2,timing,0.1877167917264018,0.18773468246206307,1.7890735661274526e-05,1.7890735661274526e-05,0.0004022282139892242,converged
0.0005,-0.7125,timing__excess_time_delay__cos2,timing,0.1989652803438195,0.19897367509949943,8.3947556799302e-06,8.3947556799302e-06,0.00018873497702629808,converged
0.0005,-0.69,timing__excess_time_delay__cos2,timing,0.196565354256914,0.1965759695466433,1.0615289729315469e-05,1.0615289729315469e-05,0.00023865810269853042,converged
