k,wq,observable_set,sigma_max,sigma_min,condition_number,cosine_similarity,sensitivity_angle_deg,numerical_rank,gram_determinant,derivative_scheme_k,derivative_scheme_wq,derivative_quality,missing_features,feature_count,rank_tolerance,parameter_k_scale,parameter_wq_scale
0.00025,-0.6666666666666666,all_shooting,9.572752919761434,0.7729275623246094,12.385058298310662,-0.9568859379969817,163.11426640363638,2,54.7458606821329,central,central,central,,71,9.572752919761435e-10,0.0025,0.2625
0.00025,-0.6666666666666666,ringdown_only,2.1842998296719456,0.08104990782296868,26.950059393564644,-0.7696038348562902,140.31832688803905,2,0.03134220553911265,central,central,central,,4,2.1842998296719457e-10,0.0025,0.2625
0.00025,-0.6666666666666666,ringdown_plus_photon_geometry,6.525129949359144,0.6454949944949016,10.108722770910166,-0.9348586947971951,159.20532810344153,2,17.74042778726979,central,central,central,,31,6.525129949359144e-10,0.0025,0.2625
0.00025,-0.6666666666666666,ringdown_plus_all_shooting,9.80597194128365,0.9250214049539399,10.600805439493504,-0.9381960118351255,159.75077405883295,2,82.27821424773218,central,central,central,,75,9.80597194128365e-10,0.0025,0.2625
0.00025,-0.64,orbital,3.860872403637231,0.0335984201694385,114.912319810475,-0.9994979867863992,178.1844284254405,2,0.016827074283085056,central,central,central,,18,3.860872403637231e-10,0.0025,0.2625
0.00025,-0.64,photon_geometry,4.579264896150881,0.25569275290783344,17.909247892534186,-0.9814781777740301,168.95534635938156,2,1.3709713263182703,central,central,central,,27,4.579264896150881e-10,0.0025,0.2625
0.00025,-0.64,redshift,2.156378823785693,0.09812832823225145,21.975089789382192,-0.9883401859019044,171.24197196580118,2,0.04477534250594011,central,central,central,,9,2.156378823785693e-10,0.0025,0.2625
0.00025,-0.64,timing,3.5353830710701413,0.43991199684458276,8.036568896572199,-0.8426020274775534,147.41591596487504,2,2.4188256623878996,central,central,central,,17,3.5353830710701415e-10,0.0025,0.2625
0.00025,-0.64,all_shooting,7.275374153413261,0.6029063745816566,12.067170725241514,-0.9536308725709068,162.4836063036445,2,19.240236991892395,central,central,central,,71,7.275374153413262e-10,0.0025,0.2625
0.00025,-0.64,ringdown_only,2.0861958333287327,0.07193283914344101,29.001994890937883,-0.7971353809376167,142.8574155484945,2,0.02251980114475356,central,central,central,,4,2.0861958333287327e-10,0.0025,0.2625
0.00025,-0.64,ringdown_plus_photon_geometry,5.008168137374171,0.5573913070230351,8.9850129958471,-0.9117598579604531,155.74969510562178,2,7.792524640301883,central,central,central,,31,5.008168137374172e-10,0.0025,0.2625
0.00025,-0.64,ringdown_plus_all_shooting,7.554372020095375,0.7638166920213509,9.890294489511113,-0.9254642156365067,157.7384591509842,2,33.29469387894204,central,central,central,,75,7.554372020095376e-10,0.0025,0.2625
0.00025,-0.61,orbital,2.7884521087990133,0.03083733578095573,90.42454667958322,-0.9992186553055532,177.7349007000212,2,0.0073940107797345125,central,central,central,,18,2.788452108799013e-10,0.0025,0.2625
0.00025,-0.61,photon_geometry,3.2560991008739006,0.17677822508819654,18.419118640032718,-0.9826384852212575,169.30793030069162,2,0.33132390168709147,central,central,central,,27,3.2560991008739007e-10,0.0025,0.2625
0.00025,-0.61,redshift,1.495592760378378,0.07850846082783237,19.050083833106672,-0.9848904012096462,170.02730694599856,2,0.013786678067282681,central,central,central,,9,1.4955927603783782e-10,0.0025,0.2625
0.00025,-0.61,timing,2.840633610864873,0.32052013612537694,8.862574580193334,-0.8529363857838917,148.5324978822707,2,0.8289743250396939,central,central,central,,17,2.840633610864873e-10,0.0025,0.2625
0.00025,-0.61,all_shooting,5.3487083515893135,0.46482332311796043,11.506970682346648,-0.947642840720551,161.37745672554516,2,6.181212270717636,central,central,central,,71,5.348708351589314e-10,0.0025,0.2625
0.00025,-0.61,ringdown_only,1.979031729314041,0.06300333515329551,31.41153915897933,-0.8252511517207962,145.61396252359557,2,0.015546498678031576,central,central,central,,4,1.979031729314041e-10,0.0025,0.2625
